english_name,description
Nidorino,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
Nidoking,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
Clefairy,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
Clefable,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
Vulpix,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
Ninetales,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
Jigglypuff,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
Wigglytuff,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
Zubat,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
Golbat,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
Oddish,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
Gloom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
Vileplume,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
Paras,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
Parasect,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
Venonat,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
Venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
Diglett,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
Dugtrio,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
Meowth,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
Persian,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
Psyduck,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
Golduck,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
Mankey,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
Primeape,It stops being angry only when nobody else is around. To view this moment is very difficult.
Growlithe,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
Arcanine,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
Poliwag,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
Poliwhirl,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
Poliwrath,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward."
Abra,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.
Kadabra,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow."
Alakazam,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
Machop,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups."
Machoke,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
Machamp,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.
Bellsprout,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.
Weepinbell,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids."
Victreebel,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all."
Tentacool,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.
Tentacruel,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves."
Geodude,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry."
Graveler,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid."
Golem,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air."
Ponyta,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger."
Rapidash,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind."
Slowpoke,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either."
Slowbro,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.
Magnemite,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again."
Magneton,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.
Farfetch'd,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food."
Doduo,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs."
Dodrio,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.
Seel,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.
Dewgong,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters."
Grimer,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.
Muk,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell."
Shellder,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.
Cloyster,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
Gastly,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
Haunter,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
Gengar,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing."
Onix,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid."
Drowzee,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past."
Hypno,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.
Krabby,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.
Kingler,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move."
Voltorb,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.
Electrode,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.
Exeggcute,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently."
Exeggutor,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.
Cubone,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head."
Marowak,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
Hitmonlee,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.
Hitmonchan,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
Lickitung,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either."
Koffing,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash."
Weezing,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.
Rhyhorn,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles."
Rhydon,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.
Chansey,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.
Tangela,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery."
Kangaskhan,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs."
Horsea,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes."
Seadra,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison."
Goldeen,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer."
Seaking,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
Staryu,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm."
Starmie,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.
Mr. Mime,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.
Scyther,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree."
Jynx,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice."
Electabuzz,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.
Magmar,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.
Pinsir,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender."
Tauros,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed."
Magikarp,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.
Gyarados,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.
Lapras,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it."
Ditto,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
Eevee,It has the ability to alter the composition of its body to suit its surrounding environment.
Vaporeon,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours."
Jolteon,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes."
Flareon,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit."
Porygon,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.
Omanyte,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem."
Omastar,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food."
Kabuto,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder."
Kabutops,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.
Aerodactyl,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.
Snorlax,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep."
Articuno,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it."
Zapdos,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.
Moltres,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow."
Dratini,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times."
Dragonair,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind."
Dragonite,"It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them."
Mewtwo,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different."
Mew,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen."
Chikorita,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around."
Bayleef,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
Meganium,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit."
Cyndaquil,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
Quilava,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
Typhlosion,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
Totodile,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
Croconaw,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
Feraligatr,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
Sentret,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
Furret,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
Hoothoot,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
Noctowl,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.
Ledyba,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively."
Ledian,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear."
Spinarak,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them."
Ariados,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs."
Crobat,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck."
Chinchou,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them."
Lanturn,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.
Pichu,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself."
Cleffa,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen."
Igglybuff,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.
Togepi,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
Togetic,"They say that it will appear before kindhearted, caring people and shower them with happiness."
Natu,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.
Xatu,They say that it stays still and quiet because it is seeing both the past and future at the same time.
Mareep,"Clothing made from Mareep’s fleece is easily charged with static electricity, so a special process is used on it."
Flaaffy,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch."
Ampharos,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off."
Bellossom,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
Marill,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.
Azumarill,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes."
Sudowoodo,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain."
Politoed,"At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting."
Hoppip,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away."
Skiploom,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
Jumpluff,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
Aipom,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops."
Sunkern,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
Sunflora,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
Yanma,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
Wooper,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
Quagsire,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.
Espeon,"By reading air currents, it can predict things such as the weather or its foe’s next move."
Umbreon,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
Murkrow,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.
Slowking,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain."
Misdreavus,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
Unown,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
Wobbuffet,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
Girafarig,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
Pineco,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
Forretress,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
Dunsparce,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
Gligar,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
Steelix,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
Snubbull,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
Granbull,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
Qwilfish,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
Scizor,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
Shuckle,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
Heracross,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
Sneasel,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
Teddiursa,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
Ursaring,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
Slugma,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
Magcargo,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
Swinub,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
Piloswine,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
Corsola,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
Remoraid,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
Octillery,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
Delibird,It carries food all day long. There are tales about lost people who were saved by the food it had.
Mantine,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
Skarmory,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
Houndour,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
Houndoom,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
Kingdra,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
Phanpy,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
Donphan,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
Porygon2,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
Stantler,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
Smeargle,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
Tyrogue,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
Hitmontop,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
Smoochum,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
Elekid,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
Magby,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
Miltank,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
Blissey,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
Raikou,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
Entei,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
Suicune,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
Larvitar,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
Pupitar,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
Tyranitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
Lugia,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
Ho-Oh,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
Celebi,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
Treecko,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
Grovyle,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
Sceptile,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.
Torchic,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black."
Combusken,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second."
Blaziken,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn."
Mudkip,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes."
Marshtomp,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low."
Swampert,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.
Poochyena,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
Mightyena,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.
Zigzagoon,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.
Linoone,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
Wurmple,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping."
Silcoon,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
Beautifly,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
Cascoon,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon."
Dustox,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
Lotad,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
Lombre,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.
Ludicolo,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful."
Seedot,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon."
Nuzleaf,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
Shiftry,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.
Taillow,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
Swellow,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape."
Wingull,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
