Metapod; An oval, cocoon-like Pokémon with a hard, glossy green shell that looks like polished jade. The shell is angular and sharp-edged with a matte finish, making it look armored and unbreakable. It has no visible eyes or limbs, blending into tree bark or leaves to avoid predators. The texture is rough and ridged, almost metallic in some light, signaling its protective state. Its body is rigid and still, like a tough chrysalis waiting to burst open. "Primary type is bug. Secondary type is nan. Abilities 0 is Shed Skin. Abilities 1 is nan. Classification is Cocoon Pokémon. Description is It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
Butterfree; A butterfly-like Pokémon with huge, delicate wings covered in a powdery, soft purple and white pattern. The wings are broad and translucent with visible veins, fluttering rapidly to create gusts of wind. It has big, expressive compound eyes that shimmer like gems. The body is slender, covered in short fine hairs, with thin antennae waving gently. The legs are small but precise, gripping leaves with ease, while the wings scatter toxic dust as a defense. "Primary type is bug. Secondary type is flying. Abilities 0 is Compoundeyes. Abilities 1 is nan. Classification is Butterfly Pokémon. Description is In battle, it flaps its wings at great speed to release highly toxic dust into the air."
Weedle; A small, caterpillar-like Pokémon with a bright yellow segmented body covered in tiny, soft bristles. It has a sharp, needle-like stinger on its red head that glints ominously. Tiny black eyes are barely visible under the antennae, giving it a wary look. The tail also ends with a smaller stinger, ready to defend against attackers. The skin looks smooth and soft, but the stingers are glossy and deadly. Primary type is bug. Secondary type is poison. Abilities 0 is Shield Dust. Abilities 1 is nan. Classification is Hairy Pokémon. Description is Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
Kakuna; A rigid, cocoon-shaped Pokémon with a hard, shiny yellow shell that appears almost waxy. It barely moves, with no visible eyes or limbs except tiny hooks that help it cling to branches. The surface is smooth but segmented into neat plates, giving a protective armor vibe. Its texture is like hardened resin, cold and tough to the touch. The pointed end of the shell houses a hidden stinger ready to strike when threatened. "Primary type is bug. Secondary type is poison. Abilities 0 is Shed Skin. Abilities 1 is nan. Classification is Cocoon Pokémon. Description is Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
Beedrill; A fierce, insect-like Pokémon with a sleek black and yellow striped body covered in a shiny exoskeleton. It has two large, translucent wings that buzz rapidly, creating a sharp humming sound. Its forelegs end in long, sharp stingers dripping with venom, mirrored by a third stinger on its tail. The eyes are compound and fierce, glowing red with aggression. The texture of its body is smooth but armored, built for speed and deadly precision. Primary type is bug. Secondary type is poison. Abilities 0 is Swarm. Abilities 1 is nan. Classification is Poison Bee Pokémon. Description is It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
Pidgey; A small bird Pokémon with soft, brown and cream feathers blending perfectly into woodland surroundings. It has a rounded head with a tiny, sharp beak and large dark eyes full of innocence. Wings are short but strong, covered in mottled patterns that help it camouflage. Its body is plump and fluffy, giving it a delicate, approachable look. The legs are thin but sturdy, ending in small talons adapted for perching. "Primary type is normal. Secondary type is flying. Abilities 0 is Keen Eye. Abilities 1 is Tangled Feet. Classification is Tiny Bird Pokémon. Description is Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
Pidgeotto; Larger and more aggressive than Pidgey, with bright chestnut feathers and a golden crest sweeping back from its head. Its wings are broad and powerful, marked with bold black tips and streaks. The eyes are sharp and alert, glowing with predatory intent. The body is streamlined and muscular, ready for swift flight across wide territories. Its tail feathers fan out in a dramatic display of color and strength. Primary type is normal. Secondary type is flying. Abilities 0 is Keen Eye. Abilities 1 is Tangled Feet. Classification is Bird Pokémon. Description is This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
Pidgeot; A majestic bird with a massive wingspan covered in glossy brown, cream, and gold feathers that shine in the sunlight. Its crest flows back elegantly, composed of long golden plumes that ripple in the wind. The eyes are fierce and commanding, a predator’s gaze that pierces through distance. Its beak is large and hooked, perfect for hunting. The legs and talons are thick and powerful, capable of crushing prey instantly. "Primary type is normal. Secondary type is flying. Abilities 0 is Keen Eye. Abilities 1 is Tangled Feet. Classification is Bird Pokémon. Description is This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
Rattata; A small, rodent Pokémon covered in smooth purple fur with a lighter cream belly. Its face features sharp, prominent front teeth perfect for gnawing. Large, round ears stick out attentively, twitching to sounds. Its tail is long and thin, with a scaly texture and a slight curl at the end. The body is compact and agile, designed for quick darting movements. "Primary type is normal. Secondary type is dark. Abilities 0 is Run Away. Abilities 1 is Guts. Classification is Mouse Pokémon. Description is Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
Raticate; Larger and bulkier, with coarse brown fur and a muscular build. The teeth are huge and chisel-shaped, jutting out menacingly. Its whiskers are long and twitchy, helping with sensing its surroundings. The feet are webbed and broad, acting as flippers for swimming. The tail is thick, strong, and scaly, with a blunt tip. "Primary type is normal. Secondary type is dark. Abilities 0 is Run Away. Abilities 1 is Guts. Classification is Mouse Pokémon. Description is Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
Spearow; A small, fierce bird covered in tawny brown feathers streaked with black. Its wings are short but beat rapidly to sustain quick, low flights. It has a sharp, hooked beak perfect for tearing. Eyes are keen and aggressive, showing a readiness to fight. The tail feathers are stiff and fan-shaped, used for swift maneuvering. "Primary type is normal. Secondary type is flying. Abilities 0 is Keen Eye. Abilities 1 is nan. Classification is Tiny Bird Pokémon. Description is Inept at flying high. However, it can fly around very fast to protect its territory."
Fearow; A tall, long-necked bird with sandy brown feathers and darker streaks running down its back. Its beak is long, pointed, and razor-sharp like a spear. The eyes are small but sharp, scanning the horizon for threats. Wings are broad and powerful, capable of fast, sustained flight. Its long tail feathers trail behind like a banner. "Primary type is normal. Secondary type is flying. Abilities 0 is Keen Eye. Abilities 1 is nan. Classification is Beak Pokémon. Description is A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
Ekans; A sleek, snake Pokémon with smooth, shiny purple scales that reflect light. Its body is long and sinuous, twisting and coiling with grace. The eyes are narrow and cunning, with slit pupils. It has a rattle-like pattern near the tail that vibrates when agitated. The texture of its skin is silky but tough, designed for stealth. "Primary type is poison. Secondary type is nan. Abilities 0 is Intimidate. Abilities 1 is Shed Skin. Classification is Snake Pokémon. Description is The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok; Large and intimidating, with thick purple scales covering its muscular body. The belly bears a vivid, frightening pattern that looks like eyes or a scary face, varying by region. Its head is wide with a broad mouth full of sharp fangs. The tongue flicks constantly, sensing chemical cues in the air. Its body is long and flexible, moving like a living shadow. Primary type is poison. Secondary type is nan. Abilities 0 is Intimidate. Abilities 1 is Shed Skin. Classification is Cobra Pokémon. Description is The frightening patterns on its belly have been studied. Six variations have been confirmed.
Pikachu; A small, chubby rodent with bright yellow fur that looks soft and plush. Its cheeks are rosy red and slightly puffed, housing electrical sacs that twitch and glow when charged. The ears are long and tipped in black, flicking at sounds. Its eyes sparkle with mischief and intelligence. The tail is shaped like a lightning bolt, thick at the base and tapering sharply. Primary type is electric. Secondary type is nan. Abilities 0 is Static. Abilities 1 is nan. Classification is Mouse Pokémon. Description is Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
Raichu; Bigger and sleeker than Pikachu, with smooth orange fur and creamy yellow underbelly. The tail is long and whip-like, ending in a sharp lightning bolt shape that also acts as a grounding rod. Its cheeks glow faintly with stored electricity. The ears are rounded with dark brown tips. The eyes are bright and alert, showing a calm confidence. Primary type is electric. Secondary type is electric. Abilities 0 is Static. Abilities 1 is Surge Surfer (Alola Form). Classification is Mouse Pokémon. Description is Its long tail serves as a ground to protect itself from its own high-voltage power.
Sandshrew; A small, armadillo-like Pokémon covered in tough, sandy yellow scales arranged in hexagonal patterns. Its body is compact and rounded, perfect for curling into a ball. The legs are short but powerful, ending in sharp claws for digging. Its eyes are small and bead-like, often half-closed. The texture of its scales feels dry and rough like desert sand. "Primary type is ground. Secondary type is ice. Abilities 0 is Sand Veil. Abilities 1 is nan. Classification is Mouse Pokémon. Description is It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
Sandslash; Larger and more formidable, covered in thick, tan-colored scales that form long, sharp spines along its back. The claws are massive and curved like sickles, perfect for digging and defense. Its face is angular with small eyes set deep. The tail is thick and spiky, balancing its heavy body. The texture of the spikes is hard and smooth, like polished stone. "Primary type is ground. Secondary type is ice. Abilities 0 is Sand Veil. Abilities 1 is nan. Classification is Mouse Pokémon. Description is The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
Nidoran; "English name is Nidoran♀. Primary type is poison. Secondary type is nan. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Poison Pin Pokémon. Description is Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
Nidorina; Bigger and sleeker, with smooth blue-purple skin and smaller, blunted horns. Its body is streamlined for agility and care. The eyes are nurturing and alert. The ears are more pointed and always pricked up. The skin shines slightly with a soft, velvety finish. Primary type is poison. Secondary type is nan. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Poison Pin Pokémon. Description is The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
Nidoqueen; Massive and powerful, with thick, armored scales in a deep blue shade. Its body is bulky with a broad chest and muscular limbs. The tail is long and heavy with armored plates. Its head has a large horn and sharp teeth, fierce and protective. The texture of the scales is rough and armor-like, designed to shield. "Primary type is poison. Secondary type is ground. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Drill Pokémon. Description is Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
Nidoran; "English name is Nidoran♂. Primary type is poison. Secondary type is nan. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Poison Pin Pokémon. Description is The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
Nidorino; Larger and fiercer with darker blue skin and a huge, sharp horn hardened like diamond. Its muscles bulge beneath smooth skin. The eyes glare with confidence. Its feet are broad for stomping boulders. The texture of the horn is crystalline and shiny. "Primary type is poison. Secondary type is nan. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Poison Pin Pokémon. Description is With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
Nidoking; Massive and intimidating with deep purple skin covered in thick, jagged armor plates. The horn is long, sharp, and deadly. Muscles ripple across its powerful limbs. Its eyes glow with controlled rage. The tail is thick and spiked, wielded as a weapon. "Primary type is poison. Secondary type is ground. Abilities 0 is Poison Point. Abilities 1 is Rivalry. Classification is Drill Pokémon. Description is When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
Clefairy; Small and round with soft pink fur and tiny star-shaped patterns scattered on its body. Its ears are pointed and tipped with darker pink. The eyes are big and sparkling with innocence. It has short limbs with small hands and feet. The texture of its fur is fluffy like cotton candy. Primary type is fairy. Secondary type is nan. Abilities 0 is Cute Charm. Abilities 1 is Magic Guard. Classification is Fairy Pokémon. Description is It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
Clefable; Taller and more graceful, covered in smooth pastel pink fur. Its large ears are rounded and expressive. The eyes are gentle and shy. It has slender limbs with dainty fingers. The fur feels silky and soft, almost magical to the touch. "Primary type is fairy. Secondary type is nan. Abilities 0 is Cute Charm. Abilities 1 is Magic Guard. Classification is Fairy Pokémon. Description is A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
Vulpix; A small fox Pokémon with rich reddish-brown fur and six distinct, flowing tails. Its eyes are large and warm, with a curious expression. The ears are pointed and tufted with darker fur. Its body is slender with a fluffy chest. The fur is soft with a glossy shine. "Primary type is fire. Secondary type is ice. Abilities 0 is Flash Fire. Abilities 1 is nan. Classification is Fox Pokémon. Description is While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
Ninetales; Elegant and mystical, covered in creamy golden fur with nine long, flowing tails that shimmer. Its eyes are deep amber, filled with ancient wisdom. The ears are sharp and tipped with white fur. The body is slender and graceful. The fur has a silky texture that seems to ripple with magic. "Primary type is fire. Secondary type is ice. Abilities 0 is Flash Fire. Abilities 1 is nan. Classification is Fox Pokémon. Description is It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
Jigglypuff; Round and plump with soft, bubblegum-pink skin. Large blue eyes sparkle with charm. Its signature tuft of hair curls atop its head. The body is smooth and almost gelatinous, capable of inflating. The texture feels like velvet mixed with a gentle bounce. "Primary type is normal. Secondary type is fairy. Abilities 0 is Cute Charm. Abilities 1 is Competitive. Classification is Balloon Pokémon. Description is Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
Wigglytuff; Larger and more inflated, with pale pink fur that looks fluffy and plush. Its big, round eyes glow with emotion. The ears are long and floppy. It can inflate like a balloon, stretching its skin taut. The texture is soft and stretchy, like a stuffed toy. "Primary type is normal. Secondary type is fairy. Abilities 0 is Cute Charm. Abilities 1 is Competitive. Classification is Balloon Pokémon. Description is The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
Zubat; A small bat with smooth, purplish-blue skin and no eyes. Its wings are thin and membranous, almost translucent with visible veins. The mouth is wide with sharp fangs. The body is compact and streamlined for silent flight. The skin feels leathery and cool. "Primary type is poison. Secondary type is flying. Abilities 0 is Inner Focus. Abilities 1 is nan. Classification is Bat Pokémon. Description is It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
Golbat; Larger and more menacing, with dark blue skin stretched taut over a huge, bat-like body. Its mouth opens wide to reveal a cavernous maw filled with sharp teeth. The wings are enormous with a leathery texture. Eyes are red and glowing. Its body smells faintly of blood, giving a sinister aura. "Primary type is poison. Secondary type is flying. Abilities 0 is Inner Focus. Abilities 1 is nan. Classification is Bat Pokémon. Description is It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
Oddish; A small, round Pokémon with dark blue skin and large, bright green leaves sprouting wildly from its head. Its eyes are wide and innocent. The body looks smooth and moist like a root vegetable. The leaves have a slight sheen and delicate veins. It appears like a walking, blooming plant bulb. "Primary type is grass. Secondary type is poison. Abilities 0 is Chlorophyll. Abilities 1 is nan. Classification is Weed Pokémon. Description is If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
Gloom; A droopy, sad-looking Pokémon with a bluish-green body and a large red flower with drooping petals on its head. The petals drip sticky nectar. Its eyes are half-lidded and sleepy. The body has a slimy, wet texture with patches of darker spots. The smell it emits is overpoweringly foul. Primary type is grass. Secondary type is poison. Abilities 0 is Chlorophyll. Abilities 1 is nan. Classification is Weed Pokémon. Description is Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
Vileplume; Large and imposing with a stout, dark green body covered in thick foliage. On its head blooms an enormous red flower with large petals spotted with white. The petals shake and release thick clouds of toxic pollen. Its eyes are small and hidden among the leaves. The texture of its skin is rough and leafy. "Primary type is grass. Secondary type is poison. Abilities 0 is Chlorophyll. Abilities 1 is nan. Classification is Flower Pokémon. Description is It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
Paras; A small, crab-like bug with an orange exoskeleton and two large, bright red mushrooms growing on its back. Its eyes are beady and black. The claws are small but strong. The mushrooms have a spongy, moist texture with white spots. Its body looks hard and shiny like polished coral. Primary type is bug. Secondary type is grass. Abilities 0 is Effect Spore. Abilities 1 is Dry Skin. Classification is Mushroom Pokémon. Description is Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
Parasect; Larger and more dominant, its crab body is pale orange and mostly hidden under a huge mushroom cap. The mushroom is oversized, spreading wide with sharp white spots. The eyes are small and glazed, almost controlled by the fungus. Its claws are larger and more menacing. The mushroom looks fleshy and pulsing, clearly the host. Primary type is bug. Secondary type is grass. Abilities 0 is Effect Spore. Abilities 1 is Dry Skin. Classification is Mushroom Pokémon. Description is The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
Venonat; A fuzzy, round bug covered in purple fur. Its massive eyes are compound and multifaceted, shimmering with tiny lenses. The antennae are long and thin. The legs are short and stubby. The texture is soft and velvety, almost plush-like. "Primary type is bug. Secondary type is poison. Abilities 0 is Compound Eyes. Abilities 1 is Tinted Lens. Classification is Insect Pokémon. Description is Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
Venomoth; A moth with large, powdery wings in pale purple shades. The wings are dusted with fine scales that leave a residue on contact. Its eyes are large and compound, glowing faintly. The body is slim and hairy. The texture of the wings is fragile but toxic. Primary type is bug. Secondary type is poison. Abilities 0 is Shield Dust. Abilities 1 is Tinted Lens. Classification is Poison Moth Pokémon. Description is The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
Diglett; A small, brown, mole-like Pokémon with a smooth, cylindrical body that emerges halfway from the ground. its only visible features are its round pink nose and beady black eyes. its skin has a slightly damp, earthen texture as if it's freshly unearthed. it leaves behind perfectly tilled soil in neat, shallow furrows. a tiny dust cloud often surrounds its base as it moves beneath the surface. "Primary type is ground. Secondary type is ground. Abilities 0 is Sand Veil. Abilities 1 is Arena Trap. Classification is Mole Pokémon. Description is If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
Dugtrio; Three Diglett-like heads protrude from the same mound, each identical but with subtle personality differences in their expressions. the trio is surrounded by a mound of cracked earth, implying seismic force beneath. the heads bob in synchronized rhythm, each with a sheen that suggests they are polished by constant motion. the ground around them seems unstable, hinting at deep burrows. their unified body is hidden, adding a mysterious depth. Primary type is ground. Secondary type is ground. Abilities 0 is Sand Veil. Abilities 1 is Arena Trap. Classification is Mole Pokémon. Description is A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
Meowth; A small, cream-colored feline Pokémon with large, mischievous eyes and a golden oval charm on its forehead. it stands upright on two legs, its slender tail curled at the tip. its fur is short and fine, almost sleek like velvet. sharp claws gleam on its paws, ideal for swiping coins and trinkets. a constant smirk gives it an air of sly cunning. "Primary type is normal. Secondary type is dark. Abilities 0 is Pickup. Abilities 1 is Technician. Classification is Scratch Cat Pokémon. Description is It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
Persian; A lithe, elegant feline with sleek, creamy-white fur that gleams under light. its narrow eyes glint with aloof disdain, and a deep red gem on its forehead pulses faintly. its limbs are long and graceful, allowing silent, fluid motion. sharp claws are concealed within velvet paws. a long, flowing tail flicks with impatience when annoyed. "Primary type is normal. Secondary type is dark. Abilities 0 is Limber. Abilities 1 is Technician. Classification is Classy Cat Pokémon. Description is Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
Psyduck; A plump, duck-like Pokémon with pale yellow fur and a vacant, confused stare. its round head is often held in its hands, signaling a chronic headache. webbed feet slap clumsily as it waddles. three short black hairs stick out from the top of its head. its dazed demeanor masks a dangerous psychic potential that surges in bursts. "Primary type is water. Secondary type is nan. Abilities 0 is Damp. Abilities 1 is Cloud Nine. Classification is Duck Pokémon. Description is Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
Golduck; Sleek and agile, with glossy blue skin and a streamlined, almost amphibious shape. a red gem sits in the center of its forehead, glowing faintly when powers activate. its webbed hands and feet are ideal for rapid swimming. sharp eyes give it a focused, hunter-like expression. its limbs are long and powerful, slicing through water with grace. "Primary type is water. Secondary type is nan. Abilities 0 is Damp. Abilities 1 is Cloud Nine. Classification is Duck Pokémon. Description is This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
Mankey; A small primate with pale, shaggy fur and a constantly angry expression. its round head is topped with large, pointy ears and wild eyes. its limbs are wiry and quick, twitching with pent-up energy. its thin tail lashes behind it like a whip. the fur is coarse and unkempt, emphasizing its volatile personality. Primary type is fighting. Secondary type is nan. Abilities 0 is Vital Spirit. Abilities 1 is Anger Point. Classification is Pig Monkey Pokémon. Description is An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
Primeape; An evolved, more muscular version of Mankey, with longer limbs and wild, electrified fur standing on end. its eyes are hidden beneath its bristling brow, always furrowed in rage. metal shackles on its wrists hint at strength that needs containment. its fists are oversized and scarred. its constant growl is nearly audible from its tense body posture. Primary type is fighting. Secondary type is nan. Abilities 0 is Vital Spirit. Abilities 1 is Anger Point. Classification is Pig Monkey Pokémon. Description is It stops being angry only when nobody else is around. To view this moment is very difficult.
Growlithe; A puppy-like Pokémon with vivid orange fur striped with black, resembling a tiger cub. a thick, creamy mane surrounds its neck and tail, soft and fluffy. its large, black eyes radiate loyalty and courage. its body is small but sturdy, ready to spring into action. its nose twitches constantly, always alert to danger. Primary type is fire. Secondary type is nan. Abilities 0 is Intimidate. Abilities 1 is Flash Fire. Classification is Puppy Pokémon. Description is It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
Arcanine; Majestic and powerful, with a lion-like body and a flowing mane of cream and gold. its orange coat is striped with bold black patterns that flicker when it runs. it moves like a force of nature, paws barely touching the ground. its eyes gleam with ancient nobility. when it howls, fire seems to ripple through its fur. "Primary type is fire. Secondary type is nan. Abilities 0 is Intimidate. Abilities 1 is Flash Fire. Classification is Legendary Pokémon. Description is The sight of it running over 6,200 miles in a single day and night has captivated many people."
Poliwag; A small, round, tadpole-like creature with slick, bluish skin that glistens with moisture. a clear, spiral pattern on its belly shows its internal organs. its tail is long, translucent, and constantly in motion. tiny limbs dangle awkwardly, rarely used. it bobs gently through water with simple, hypnotic elegance. "Primary type is water. Secondary type is nan. Abilities 0 is Water Absorb. Abilities 1 is Damp. Classification is Tadpole Pokémon. Description is For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
Poliwhirl; Larger and rounder than Poliwag, with more developed limbs and hands. its belly spiral is bold and wide, almost hypnotic when it rotates. skin is still slick and damp, with a faint rubbery feel. wide eyes sit above a flat mouth, giving it a sleepy, calm look. it seems to pulse with a slow, sleepy rhythm. Primary type is water. Secondary type is nan. Abilities 0 is Water Absorb. Abilities 1 is Damp. Classification is Tadpole Pokémon. Description is Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
Poliwrath; A muscular, heavyset form of the Poli line, with strong arms that flex with every movement. its spiral pattern is more aggressive, seeming to swirl inward like a vortex. thick, blue skin has a leathery toughness. fists clench naturally, as if always ready to strike. it strides with a wrestler’s confidence and weight. "Primary type is water. Secondary type is fighting. Abilities 0 is Water Absorb. Abilities 1 is Damp. Classification is Tadpole Pokémon. Description is Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward."
